example,method,param,rel_error
Example 1,Haar,j=4,0.00014176965267984182
Example 1,LLMW,k=4,3.5432311545391816e-05
Example 1,Haar,j=5,3.5432311545391816e-05
Example 1,LLMW,k=5,8.857446626746127e-06
Example 1,Haar,j=6,8.857446626746127e-06
Example 1,LLMW,k=6,2.214322204398707e-06
Example 1,Haar,j=7,2.214322204398707e-06
Example 1,LLMW,k=7,5.535780853541486e-07
Example 1,Hybrid,"m=3, n=5",1.0110413156732643e-05
Example 1,Hybrid,"m=4, n=8",7.946034949255503e-07
Example 1,Hybrid,"m=5, n=12",3.447079782026736e-11
Example 1,Hybrid,"m=6, n=20",9.694652164140736e-13
Example 2,Haar,j=4,3.529322962711935e-05
Example 2,LLMW,k=4,8.822943275305145e-06
Example 2,Haar,j=5,8.822943275305145e-06
Example 2,LLMW,k=5,2.205713064127245e-06
Example 2,Haar,j=6,2.205713064127245e-06
Example 2,LLMW,k=6,5.514268439180878e-07
Example 2,Haar,j=7,5.514268439180878e-07
Example 2,LLMW,k=7,1.3785662209827305e-07
Example 2,Hybrid,"m=3, n=5",3.6467025657637524e-07
Example 2,Hybrid,"m=4, n=8",2.8647833406638908e-08
Example 2,Hybrid,"m=5, n=12",1.3261557218170064e-12
Example 2,Hybrid,"m=6, n=20",3.7147653673103845e-14
Example 3,Haar,j=4,4.06423906611255e-05
Example 3,LLMW,k=4,1.017261843247677e-05
Example 3,Haar,j=5,1.017261843247677e-05
Example 3,LLMW,k=5,2.543136036664726e-06
Example 3,Haar,j=6,2.543136036664726e-06
Example 3,LLMW,k=6,6.357831605408885e-07
Example 3,Haar,j=7,6.357831605408885e-07
Example 3,LLMW,k=7,1.5894573708539235e-07
Example 3,Hybrid,"m=3, n=5",0.0002937563341531298
Example 3,Hybrid,"m=4, n=8",6.640608490204984e-05
Example 3,Hybrid,"m=5, n=12",1.8219527320200985e-06
Example 3,Hybrid,"m=6, n=20",3.794668017749864e-08
