problem,basis,N,delta,runs,alpha_mean,E2_mean,E2_ci95,Einf_mean,Einf_ci95,Eres_mean,kappa_A,kappa_reg_mean
oscillatory Gaussian-modulated kernel,Haar,32,0.001,20,1.2730782451983088e-07,0.03615701300441623,0.001472191575538455,0.11074317920419918,0.004459397872451199,0.0010100003122134233,2251799813685252.5,6648879.1548761185
oscillatory Gaussian-modulated kernel,Hybrid,32,0.001,20,1.1883728002732231e-07,0.02116459708411583,0.002279694264206866,0.09654659753033949,0.010330737614352705,0.0010100003122130922,2251805687967336.5,7502941.66824579
oscillatory Gaussian-modulated kernel,Legendre,32,0.001,20,1.179410081592568e-07,0.023632148314901912,0.002125277148762897,0.18381532521372485,0.013886258344796025,0.0010100003122133008,2256224594264129.0,7566576.158450427
oscillatory Gaussian-modulated kernel,B-spline,32,0.001,20,1.1777987500363158e-07,0.02364061176180931,0.0021039335203400355,0.16431377798784358,0.012678340164922579,0.0010100003122133446,413565400991350.56,7576871.832176114
oscillatory Gaussian-modulated kernel,LLMW,32,0.001,20,1.23098142761987e-07,0.01967337757502302,0.0023691102399336804,0.06447099678708393,0.007276067223873572,0.001010000312213415,2251799813685264.0,7187073.7316240445
weakly singular |x-y|^{-1/4},Haar,32,0.001,20,0.016694412570577345,0.04746680888064354,0.0015156085386463603,0.1310202436992733,0.00616398947702123,0.0010099359823191312,158.56502863420735,3802.5743752615317
weakly singular |x-y|^{-1/4},Hybrid,32,0.001,20,0.018189231923192505,0.03136655013234657,0.001936663289961273,0.13832445696096052,0.015082116379460733,0.0010099359823191956,187.28917682456188,3680.8275235135925
weakly singular |x-y|^{-1/4},Legendre,32,0.001,20,0.01831590804166048,0.03285815696130498,0.0017563162252055644,0.23711047111924768,0.020045663628722257,0.0010099359823192498,488.64363210076596,4027.994447804077
weakly singular |x-y|^{-1/4},B-spline,32,0.001,20,0.019796764457756216,0.03616356193704519,0.00047444625849009614,0.3171446646530144,0.0063254888736531175,0.00100993598231926,2014362.853310098,3776.3871680414086
weakly singular |x-y|^{-1/4},LLMW,32,0.001,20,0.017941687702450908,0.030995263259963907,0.0018000260835039905,0.09426431408589585,0.00791703941995967,0.0010099359823191108,176.01073660421167,3675.5077159282846
