problem,basis,assembly_median_s,solve_median_s,total_median_s
Gaussian sigma=0.1,Haar,0.0013789070000029824,9.02030000133891e-05,0.0014691100000163715
Gaussian sigma=0.2,Haar,0.0019312525000145797,6.771549999484705e-05,0.0019989680000094268
Oscillatory,Haar,0.002491936000012629,8.685550000109288e-05,0.002578791500013722
Weakly singular,Haar,0.024441947000013897,0.00010395199996082738,0.024545898999974725
Gaussian sigma=0.1,Hybrid,0.001938600000016777,9.134949999634046e-05,0.0020299495000131174
Gaussian sigma=0.2,Hybrid,0.0012771769999631033,7.74370000158342e-05,0.0013546139999789375
Oscillatory,Hybrid,0.0029139810000060606,9.176450004133585e-05,0.0030057455000473965
Weakly singular,Hybrid,0.0116069119999338,0.00011574350003229483,0.011722655499966095
Gaussian sigma=0.1,Legendre,0.0019404985000051056,9.348800006137026e-05,0.002033986500066476
Gaussian sigma=0.2,Legendre,0.0034600074999389108,7.665399999723377e-05,0.0035366614999361445
Oscillatory,Legendre,0.0022148554999716907,9.29839999912474e-05,0.002307839499962938
Weakly singular,Legendre,0.01089192099993852,0.00010934549999319643,0.011001266499931717
Gaussian sigma=0.1,B-spline,0.00130114900002809,9.54420000311984e-05,0.0013965910000592885
Gaussian sigma=0.2,B-spline,0.0011758070000382759,7.981749996588405e-05,0.00125562450000416
Oscillatory,B-spline,0.002023205999989841,9.458749997293125e-05,0.0021177934999627723
Weakly singular,B-spline,0.013636401000098886,0.00011096449998149183,0.013747365500080377
Gaussian sigma=0.1,LLMW,0.001960984999982429,8.89434999749028e-05,0.002049928499957332
Gaussian sigma=0.2,LLMW,0.0018552020000015546,6.954749994747544e-05,0.00192474949994903
Oscillatory,LLMW,0.0029765470000597816,0.00013442300001997864,0.00311097000007976
Weakly singular,LLMW,0.056872214999998505,0.00010291399996731343,0.05697512899996582
