problem,basis,assembly_median_s,solve_median_s,total_median_s
Problem 1,Haar,0.0016510400000129266,5.8135500012213015e-05,0.0017091755000251396
Problem 2,Haar,0.001250214999970467,5.4046499940341164e-05,0.0013042614999108082
Problem 1,Hybrid,0.0012307789999681518,5.677450002394835e-05,0.0012875534999921001
Problem 2,Hybrid,0.0009398220000207402,5.490600005941815e-05,0.0009947280000801584
Problem 1,Legendre,0.0013752130000170837,5.4545500006497605e-05,0.0014297585000235813
Problem 2,Legendre,0.001152971500005151,5.849349997788522e-05,0.0012114649999830363
Problem 1,B-spline,0.0014453939999725662,6.170599999677506e-05,0.0015070999999693413
Problem 2,B-spline,0.0012053485000365072,6.47410000169657e-05,0.0012700895000534729
Problem 1,LLMW,0.0018594454999742993,5.814249999502863e-05,0.001917587999969328
Problem 2,LLMW,0.0016226635000293754,5.7793999985733535e-05,0.001680457500015109
