basis,N,Eproj_L2,observed_rate
Haar,8,0.11317352805669022,
Haar,16,0.0567081419893411,0.9969087498184371
Haar,32,0.028336121504135295,1.0009135845445436
Haar,64,0.01412766630359578,1.004119131483309
Hybrid,8,0.0009362824085553533,
Hybrid,16,5.942894670044545e-05,3.977706035574556
Hybrid,32,3.705973500315823e-06,4.003241340835
Hybrid,64,2.2811277824808442e-07,4.022033395544558
Legendre,8,4.671061141427761e-06,
Legendre,16,1.3540403216255161e-08,8.430335817856609
Legendre,32,5.287367334672424e-11,8.000505425839606
Legendre,64,2.0050528112674082e-13,8.042765513346009
B-spline,8,0.0001305985453544875,
B-spline,16,2.5272882017334486e-06,5.6914048248050095
B-spline,32,1.000581976899838e-07,4.658678916699932
B-spline,64,5.090727305061346e-09,4.296823773897784
LLMW,8,0.02300449175834955,
LLMW,16,0.0057539791963156965,1.9992836730255121
LLMW,32,0.001435845991114116,2.0026589910353625
LLMW,64,0.00035735166463950305,2.0064846000836356
